usuario_id,ingreso_mensual,gasto_mensual_promedio,deuda_mensual,ahorro_mensual_estimado,porcentaje_gastos_ingreso,nivel_endeudamiento,porcentaje_ahorro_ingreso,frecuencia_ahorro,perfil_financiero,estado,ratio_gasto_ingreso,ratio_deuda_ingreso,ratio_ahorro_ingreso,margen_mensual_estimado,cantidad_transacciones,monto_total,monto_promedio_transaccion,monto_mediano,monto_maximo,desviacion_montos,cantidad_recurrentes,cantidad_transacciones_grandes,categorias_distintas,ratio_deuda_ingreso_calculado,ratio_gasto_ingreso_calculado,ratio_ahorro_ingreso_calculado
USR0001,3229.87,2790.94,548.36,-109.43,86.41,16.98,-3.39,Nunca,En riesgo,ACTIVO,0.8641028895899835,0.16977773099226906,-0.03388062058225254,-109.43000000000018,72,72249.7,1003.4680555555556,356.605,8182.04,1425.177412219402,27,26,12,0.16977773099226906,0.8641028895899835,-0.03388062058225254
USR0002,1626.2,1108.7,250.77,266.72,68.18,15.42,16.4,Media,En observación,ACTIVO,0.6817734595990653,0.154206124707908,0.16401426638789818,266.73,73,32818.81,449.57273972602735,171.37,2222.92,593.8889779109024,26,22,13,0.154206124707908,0.6817734595990653,0.16401426638789818
USR0003,2159.64,1941.01,452.15,-233.53,89.88,20.94,-10.81,Nunca,En riesgo,ACTIVO,0.8987655349965735,0.20936359763664314,-0.10813376303457985,-233.5200000000001,74,49207.77,664.9698648648648,223.76999999999998,3784.15,829.0909117236308,26,29,12,0.20936359763664314,0.8987655349965735,-0.10813376303457985
USR0004,2894.78,1462.03,1368.23,64.52,50.51,47.27,2.23,Baja,En riesgo,ACTIVO,0.5050573791445291,0.47265422588245043,0.0222883949730204,64.52000000000021,80,52281.67,653.5208749999999,211.135,2746.46,910.3720930479419,30,30,14,0.47265422588245043,0.5050573791445291,0.0222883949730204
USR0005,3703.13,2677.45,532.98,492.69,72.3,14.39,13.3,Media,En observación,ACTIVO,0.723023496339583,0.14392689427592334,0.13304690896619886,492.7000000000003,82,76566.96,933.7434146341465,362.115,3977.66,1168.2850799252085,29,30,14,0.14392689427592334,0.723023496339583,0.13304690896619886
USR0006,2745.46,1765.73,345.25,634.48,64.31,12.58,23.11,Alta,En observación,ACTIVO,0.6431454109693822,0.12575306141775877,0.23110152761285904,634.48,79,54134.22,685.2432911392406,158.06,3593.87,991.1152069838653,30,29,14,0.12575306141775877,0.6431454109693822,0.23110152761285904
USR0007,4176.64,3143.66,731.4,301.57,75.27,17.51,7.22,Baja,En observación,ACTIVO,0.7526767928286852,0.17511684033098374,0.07220397257125344,301.5800000000005,74,87843.55,1187.075,383.56500000000005,4185.0,1421.0138950389735,31,30,13,0.17511684033098374,0.7526767928286852,0.07220397257125344
USR0008,4281.03,3498.97,720.42,61.64,81.73,16.83,1.44,Baja,En riesgo,ACTIVO,0.8173196637257856,0.16828193215184195,0.014398404122372421,61.639999999999986,75,93360.05,1244.8006666666668,343.84,5774.21,1622.9453037604806,21,28,12,0.16828193215184195,0.8173196637257856,0.014398404122372421
USR0009,2712.0,1032.21,153.97,1525.82,38.06,5.68,56.26,Alta,Saludable,ACTIVO,0.38060840707964605,0.056773598820058994,0.562617994100295,1525.82,75,44930.590000000004,599.0745333333334,196.37,2653.7,891.0134092240189,32,24,13,0.056773598820058994,0.38060840707964605,0.562617994100295
USR0010,4841.49,3418.36,758.01,665.11,70.61,15.66,13.74,Media,En observación,INACTIVO,0.7060553672526434,0.15656543749961271,0.13737712976790203,665.1199999999997,75,99118.2,1321.576,582.16,4914.67,1640.225588862538,28,26,13,0.15656543749961271,0.7060553672526434,0.13737712976790203
USR0011,6060.19,4219.13,1011.48,829.58,69.62,16.69,13.69,Media,En observación,ACTIVO,0.6962042444213796,0.16690565807342675,0.13689009750519374,829.5799999999995,76,123351.93,1623.0517105263157,778.6600000000001,6046.55,1991.4715777383572,27,28,13,0.16690565807342675,0.6962042444213796,0.13689009750519374
USR0012,2072.62,1856.75,656.85,-440.98,89.58,31.69,-21.28,Nunca,En riesgo,ACTIVO,0.8958468025976783,0.3169177176713532,-0.21276452026903148,-440.98000000000013,77,47152.47,612.3697402597403,177.95,3749.46,850.3874303685815,32,27,14,0.3169177176713532,0.8958468025976783,-0.21276452026903148
USR0013,4951.1,3638.66,2569.28,-1256.84,73.49,51.89,-25.39,Nunca,En riesgo,ACTIVO,0.7349195128355314,0.5189311466138837,-0.25385065944941526,-1256.8399999999997,76,103077.05,1356.2769736842106,498.54999999999995,4930.55,1699.4500848780622,34,26,15,0.5189311466138837,0.7349195128355314,-0.25385065944941526
USR0014,4785.82,4089.83,803.47,-107.48,85.46,16.79,-2.25,Nunca,En riesgo,ACTIVO,0.854572466160449,0.16788554521482213,-0.022458011375271116,-107.48000000000025,78,106507.77,1365.4842307692309,634.48,4816.3,1550.5136957632462,28,31,15,0.16788554521482213,0.854572466160449,-0.022458011375271116
USR0015,1904.5,1203.6,120.53,580.37,63.2,6.33,30.47,Alta,En observación,ACTIVO,0.6319768968233132,0.06328695195589394,0.30473615122079284,580.3700000000001,77,37297.2,484.37922077922076,97.98,5759.87,876.6562375490151,32,28,14,0.06328695195589394,0.6319768968233132,0.30473615122079284
USR0016,2758.39,2047.44,394.39,316.55,74.23,14.3,11.48,Media,En observación,ACTIVO,0.7422590714148471,0.14297833156297696,0.11475897171901,316.55999999999983,76,57669.98,758.8155263157895,326.26,3280.56,925.6767310782525,27,27,13,0.14297833156297696,0.7422590714148471,0.11475897171901
USR0017,3199.09,1592.1,1158.78,448.21,49.77,36.22,14.01,Media,En observación,ACTIVO,0.4976727756955884,0.3622217568120934,0.14010546749231811,448.21000000000026,81,57494.18,709.8046913580247,238.17,2894.73,951.2004434227917,29,27,15,0.3622217568120934,0.4976727756955884,0.14010546749231811
USR0018,2644.07,1938.57,477.64,227.85,73.32,18.06,8.62,Baja,En observación,INACTIVO,0.733176504404195,0.18064574689777502,0.08617396664989958,227.86000000000024,76,54991.71,723.5751315789473,336.495,2588.71,857.8256526443176,30,24,12,0.18064574689777502,0.733176504404195,0.08617396664989958
USR0019,1636.15,1470.24,249.75,-83.84,89.86,15.26,-5.12,Nunca,En riesgo,ACTIVO,0.8985973168719249,0.15264492864346177,-0.05124224551538673,-83.83999999999992,75,37276.69,497.02253333333334,125.07,4721.79,813.2330907159321,21,25,13,0.15264492864346177,0.8985973168719249,-0.05124224551538673
USR0020,3647.62,3509.64,415.81,-277.84,96.22,11.4,-7.62,Nunca,En riesgo,ACTIVO,0.962172594733004,0.11399487885251205,-0.07617021509916054,-277.83,80,85887.15,1073.589375,593.31,3633.46,1200.8737637841766,24,22,15,0.11399487885251205,0.962172594733004,-0.07617021509916054
USR0021,3960.68,1500.59,241.45,2218.64,37.89,6.1,56.02,Alta,Saludable,ACTIVO,0.3788718098912308,0.060961754042235174,0.560166436066534,2218.6400000000003,74,65535.28,885.6118918918919,257.555,4035.37,1380.4320664571728,31,24,13,0.060961754042235174,0.3788718098912308,0.560166436066534
USR0022,1328.26,903.26,174.68,250.33,68.0,13.15,18.85,Media,En observación,ACTIVO,0.6800325237528797,0.1315103970608164,0.18846460783280383,250.32,73,26778.239999999998,366.82520547945205,127.99,1948.31,490.82778472559784,28,24,13,0.1315103970608164,0.6800325237528797,0.18846460783280383
USR0023,2880.45,1930.19,381.94,568.31,67.01,13.26,19.73,Media,En observación,ACTIVO,0.6701001579614297,0.13259733722161468,0.19729903313718342,568.3199999999997,76,57727.73,759.5753947368421,316.235,2792.23,949.2265066160493,28,25,13,0.13259733722161468,0.6701001579614297,0.19729903313718342
USR0024,1817.7,1310.27,317.46,189.97,72.08,17.46,10.45,Media,En observación,ACTIVO,0.7208395224734554,0.1746492820597458,0.1045111954667987,189.97000000000008,75,37535.55,500.47400000000005,211.92,2591.27,651.2597017506338,27,24,13,0.1746492820597458,0.7208395224734554,0.1045111954667987
USR0025,4360.43,3600.78,1352.13,-592.48,82.58,31.01,-13.59,Nunca,En riesgo,ACTIVO,0.8257855303261376,0.3100909772660036,-0.13587650759214115,-592.48,73,95534.44,1308.6909589041097,682.29,4496.73,1538.8269738506854,34,24,13,0.3100909772660036,0.8257855303261376,-0.13587650759214115
USR0026,4709.92,3893.63,1213.93,-397.64,82.67,25.77,-8.44,Nunca,En riesgo,ACTIVO,0.8266870774875157,0.25773898495091213,-0.08442606243842782,-397.6400000000001,76,103242.66,1358.456052631579,612.905,4791.17,1596.1479712784185,32,27,13,0.25773898495091213,0.8266870774875157,-0.08442606243842782
USR0027,2139.41,1600.43,1100.3,-561.32,74.81,51.43,-26.24,Nunca,En riesgo,ACTIVO,0.7480707297806405,0.5143006716805101,-0.26237140146115057,-561.3200000000002,72,44878.02,623.3058333333333,230.32,2192.79,763.3907843240219,29,29,12,0.5143006716805101,0.7480707297806405,-0.26237140146115057
USR0028,3031.36,2656.8,117.51,257.04,87.64,3.88,8.48,Baja,En observación,ACTIVO,0.8764382983215455,0.03876477884513881,0.0847936239839544,257.04999999999995,78,68257.95,875.1019230769231,400.705,2930.12,988.6493027752925,30,26,14,0.03876477884513881,0.8764382983215455,0.0847936239839544
USR0029,5716.21,3221.27,864.93,1630.01,56.35,15.13,28.52,Alta,Saludable,INACTIVO,0.5635324804372127,0.15131179575278025,0.285155723810007,1630.0100000000002,78,107249.72,1374.9964102564102,510.47,5739.26,1889.8917038264763,26,26,14,0.15131179575278025,0.5635324804372127,0.285155723810007
USR0030,3217.05,1893.04,504.51,819.5,58.84,15.68,25.47,Alta,Saludable,ACTIVO,0.5884397196189055,0.15682379820021447,0.25473648218087996,819.5000000000002,76,61321.1,806.8565789473683,290.05499999999995,3253.24,1079.456240598389,27,24,13,0.15682379820021447,0.5884397196189055,0.25473648218087996
USR0031,4115.85,1776.23,35.79,2303.83,43.16,0.87,55.97,Alta,Saludable,ACTIVO,0.43155848731124796,0.008695652173913042,0.5597458605148389,2303.8300000000004,75,70704.93,942.7323999999999,261.16,4205.48,1423.7599941882477,22,27,12,0.008695652173913042,0.43155848731124796,0.5597458605148389
USR0032,2264.89,1541.26,508.89,214.74,68.05,22.47,9.48,Baja,En observación,ACTIVO,0.6805010397855967,0.22468640861145575,0.09481255160294762,214.7399999999999,75,45673.82,608.9842666666667,225.59,2216.32,763.408848075124,31,25,13,0.22468640861145575,0.6805010397855967,0.09481255160294762
USR0033,5636.97,5004.6,1479.6,-847.23,88.78,26.25,-15.03,Nunca,En riesgo,ACTIVO,0.8878173912580695,0.2624814394967509,-0.1502988307548204,-847.23,75,127698.92,1702.6522666666667,862.26,5793.38,1925.659931173174,29,25,13,0.2624814394967509,0.8878173912580695,-0.1502988307548204
USR0034,2343.66,1865.09,292.57,186.01,79.58,12.48,7.94,Baja,En observación,ACTIVO,0.7958022921413516,0.12483466031762287,0.07936731437153853,185.99999999999994,79,50505.02,639.3040506329113,302.69,2692.41,742.4029518231252,30,27,14,0.12483466031762287,0.7958022921413516,0.07936731437153853
USR0035,4912.32,3385.91,297.31,1229.1,68.93,6.05,25.02,Alta,En observación,ACTIVO,0.6892690215621132,0.0605233372418735,0.2502076411960133,1229.1,79,99578.81,1260.4912658227847,406.01,4913.93,1617.308032364169,30,31,13,0.0605233372418735,0.6892690215621132,0.2502076411960133
