usuario_id,ingreso_mensual,gasto_mensual_promedio,deuda_mensual,ahorro_mensual_estimado,porcentaje_gastos_ingreso,nivel_endeudamiento,porcentaje_ahorro_ingreso,frecuencia_ahorro,perfil_financiero,estado
USR0001,3229.87,2790.94,548.36,-109.43,86.41,16.98,-3.39,Nunca,En riesgo,ACTIVO
USR0002,1626.2,1108.7,250.77,266.72,68.18,15.42,16.4,Media,En observación,ACTIVO
USR0003,2159.64,1941.01,452.15,-233.53,89.88,20.94,-10.81,Nunca,En riesgo,ACTIVO
USR0004,2894.78,1462.03,1368.23,64.52,50.51,47.27,2.23,Baja,En riesgo,ACTIVO
USR0005,3703.13,2677.45,532.98,492.69,72.3,14.39,13.3,Media,En observación,ACTIVO
USR0006,2745.46,1765.73,345.25,634.48,64.31,12.58,23.11,Alta,En observación,ACTIVO
USR0007,4176.64,3143.66,731.4,301.57,75.27,17.51,7.22,Baja,En observación,ACTIVO
USR0008,4281.03,3498.97,720.42,61.64,81.73,16.83,1.44,Baja,En riesgo,ACTIVO
USR0009,2712.0,1032.21,153.97,1525.82,38.06,5.68,56.26,Alta,Saludable,ACTIVO
USR0010,4841.49,3418.36,758.01,665.11,70.61,15.66,13.74,Media,En observación,INACTIVO
USR0011,6060.19,4219.13,1011.48,829.58,69.62,16.69,13.69,Media,En observación,ACTIVO
USR0012,2072.62,1856.75,656.85,-440.98,89.58,31.69,-21.28,Nunca,En riesgo,ACTIVO
USR0013,4951.1,3638.66,2569.28,-1256.84,73.49,51.89,-25.39,Nunca,En riesgo,ACTIVO
USR0014,4785.82,4089.83,803.47,-107.48,85.46,16.79,-2.25,Nunca,En riesgo,ACTIVO
USR0015,1904.5,1203.6,120.53,580.37,63.2,6.33,30.47,Alta,En observación,ACTIVO
USR0016,2758.39,2047.44,394.39,316.55,74.23,14.3,11.48,Media,En observación,ACTIVO
USR0017,3199.09,1592.1,1158.78,448.21,49.77,36.22,14.01,Media,En observación,ACTIVO
USR0018,2644.07,1938.57,477.64,227.85,73.32,18.06,8.62,Baja,En observación,INACTIVO
USR0019,1636.15,1470.24,249.75,-83.84,89.86,15.26,-5.12,Nunca,En riesgo,ACTIVO
USR0020,3647.62,3509.64,415.81,-277.84,96.22,11.4,-7.62,Nunca,En riesgo,ACTIVO
USR0021,3960.68,1500.59,241.45,2218.64,37.89,6.1,56.02,Alta,Saludable,ACTIVO
USR0022,1328.26,903.26,174.68,250.33,68.0,13.15,18.85,Media,En observación,ACTIVO
USR0023,2880.45,1930.19,381.94,568.31,67.01,13.26,19.73,Media,En observación,ACTIVO
USR0024,1817.7,1310.27,317.46,189.97,72.08,17.46,10.45,Media,En observación,ACTIVO
USR0025,4360.43,3600.78,1352.13,-592.48,82.58,31.01,-13.59,Nunca,En riesgo,ACTIVO
USR0026,4709.92,3893.63,1213.93,-397.64,82.67,25.77,-8.44,Nunca,En riesgo,ACTIVO
USR0027,2139.41,1600.43,1100.3,-561.32,74.81,51.43,-26.24,Nunca,En riesgo,ACTIVO
USR0028,3031.36,2656.8,117.51,257.04,87.64,3.88,8.48,Baja,En observación,ACTIVO
USR0029,5716.21,3221.27,864.93,1630.01,56.35,15.13,28.52,Alta,Saludable,INACTIVO
USR0030,3217.05,1893.04,504.51,819.5,58.84,15.68,25.47,Alta,Saludable,ACTIVO
USR0031,4115.85,1776.23,35.79,2303.83,43.16,0.87,55.97,Alta,Saludable,ACTIVO
USR0032,2264.89,1541.26,508.89,214.74,68.05,22.47,9.48,Baja,En observación,ACTIVO
USR0033,5636.97,5004.6,1479.6,-847.23,88.78,26.25,-15.03,Nunca,En riesgo,ACTIVO
USR0034,2343.66,1865.09,292.57,186.01,79.58,12.48,7.94,Baja,En observación,ACTIVO
USR0035,4912.32,3385.91,297.31,1229.1,68.93,6.05,25.02,Alta,En observación,ACTIVO
USR0036,2722.09,1450.18,1299.03,-27.13,53.27,47.72,-1.0,Nunca,En riesgo,ACTIVO
USR0037,2756.92,1768.33,521.12,467.47,64.14,18.9,16.96,Media,En observación,ACTIVO
USR0038,3473.84,2373.05,258.24,842.55,68.31,7.43,24.25,Alta,En observación,ACTIVO
USR0039,3178.83,2479.8,1333.52,-634.49,78.01,41.95,-19.96,Nunca,En riesgo,ACTIVO
USR0040,2308.95,1690.58,362.18,256.19,73.22,15.69,11.1,Media,En observación,ACTIVO
USR0041,4752.36,2736.01,829.82,1186.53,57.57,17.46,24.97,Alta,Saludable,ACTIVO
USR0042,4733.94,3192.45,708.76,832.73,67.44,14.97,17.59,Media,En observación,ACTIVO
USR0043,3852.78,2857.09,834.78,160.92,74.16,21.67,4.18,Baja,En observación,ACTIVO
USR0044,2395.96,1572.75,990.92,-167.71,65.64,41.36,-7.0,Nunca,En riesgo,ACTIVO
USR0045,3877.62,2028.89,503.86,1344.86,52.32,12.99,34.68,Alta,Saludable,ACTIVO
USR0046,2353.48,1317.91,109.93,925.63,56.0,4.67,39.33,Alta,Saludable,INACTIVO
USR0047,3545.2,2250.05,397.1,898.04,63.47,11.2,25.33,Alta,En observación,ACTIVO
USR0048,2464.02,1567.33,409.87,486.82,63.61,16.63,19.76,Media,En observación,ACTIVO
USR0049,6907.61,2993.43,16.89,3897.29,43.34,0.24,56.42,Alta,Saludable,ACTIVO
USR0050,2503.9,1948.91,590.63,-35.64,77.84,23.59,-1.42,Nunca,En riesgo,ACTIVO
USR0051,3367.14,2691.09,860.62,-184.57,79.92,25.56,-5.48,Nunca,En riesgo,ACTIVO
USR0052,4838.18,4854.5,317.11,-333.43,100.34,6.55,-6.89,Nunca,En riesgo,ACTIVO
USR0053,2142.25,1598.46,199.75,344.05,74.62,9.32,16.06,Media,En observación,ACTIVO
USR0054,2716.94,2044.49,1299.14,-626.69,75.25,47.82,-23.07,Nunca,En riesgo,ACTIVO
USR0055,6078.52,2965.49,158.18,2954.85,48.79,2.6,48.61,Alta,Saludable,ACTIVO
USR0056,3983.39,3557.26,1348.4,-922.27,89.3,33.85,-23.15,Nunca,En riesgo,ACTIVO
USR0057,3524.69,2898.12,703.53,-76.97,82.22,19.96,-2.18,Nunca,En riesgo,ACTIVO
USR0058,3091.37,2186.77,761.71,142.89,70.74,24.64,4.62,Baja,En observación,ACTIVO
USR0059,6362.18,3981.34,964.7,1416.15,62.58,15.16,22.26,Alta,En observación,ACTIVO
USR0060,6129.11,4544.64,1212.19,372.28,74.15,19.78,6.07,Baja,En observación,ACTIVO
USR0061,2637.28,1473.97,989.23,174.08,55.89,37.51,6.6,Baja,En observación,ACTIVO
USR0062,2327.54,1319.92,304.0,703.62,56.71,13.06,30.23,Alta,Saludable,ACTIVO
USR0063,3255.35,2045.12,590.52,619.71,62.82,18.14,19.04,Media,En observación,ACTIVO
USR0064,3530.77,3193.57,287.26,49.94,90.45,8.14,1.41,Baja,En riesgo,INACTIVO
USR0065,3929.29,3603.99,297.53,27.77,91.72,7.57,0.71,Baja,En riesgo,ACTIVO
USR0066,3330.5,1444.38,1783.65,102.46,43.37,53.56,3.08,Baja,En riesgo,ACTIVO
USR0067,2673.88,1684.24,986.18,3.46,62.99,36.88,0.13,Baja,En observación,ACTIVO
USR0068,1377.22,1061.95,681.4,-366.13,77.11,49.48,-26.58,Nunca,En riesgo,ACTIVO
USR0069,3163.37,2502.84,627.36,33.17,79.12,19.83,1.05,Baja,En riesgo,ACTIVO
USR0070,6516.17,3918.81,678.0,1919.35,60.14,10.4,29.46,Alta,En observación,ACTIVO
USR0071,5146.65,2990.78,488.23,1667.64,58.11,9.49,32.4,Alta,Saludable,ACTIVO
USR0072,5026.03,3436.17,1890.08,-300.23,68.37,37.61,-5.97,Nunca,En observación,ACTIVO
USR0073,5251.29,4265.73,234.91,750.65,81.23,4.47,14.29,Media,En observación,ACTIVO
USR0074,2535.56,1849.28,466.43,219.86,72.93,18.4,8.67,Baja,En observación,ACTIVO
USR0075,5758.07,3506.82,372.95,1878.3,60.9,6.48,32.62,Alta,En observación,ACTIVO
USR0076,1264.54,704.56,533.55,26.43,55.72,42.19,2.09,Baja,En riesgo,ACTIVO
USR0077,1905.13,1406.15,962.28,-463.3,73.81,50.51,-24.32,Nunca,En riesgo,ACTIVO
USR0078,4780.04,3228.84,1356.8,194.4,67.55,28.38,4.07,Baja,En observación,ACTIVO
USR0079,3985.9,1549.04,503.84,1933.02,38.86,12.64,48.5,Alta,Saludable,ACTIVO
USR0080,3741.11,3058.23,396.03,286.85,81.75,10.59,7.67,Baja,En observación,ACTIVO
USR0081,4371.8,2119.98,210.54,2041.28,48.49,4.82,46.69,Alta,Saludable,ACTIVO
USR0082,2367.27,2029.61,371.76,-34.1,85.74,15.7,-1.44,Nunca,En riesgo,ACTIVO
USR0083,3205.98,2702.83,1184.11,-680.97,84.31,36.93,-21.24,Nunca,En riesgo,ACTIVO
USR0084,4002.67,2047.05,96.06,1859.55,51.14,2.4,46.46,Alta,Saludable,ACTIVO
USR0085,6538.64,5705.64,412.86,420.14,87.26,6.31,6.43,Baja,En observación,ACTIVO
